Season,Name,Team,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,playerid
1871,Dickie Flowers,TRO,0,0,0,1,0,0,0,0,,,1,,1,0,0,0,0,,,,0,0,1004174
1873,Rynie Wolters,ELI,0,1,0,1,1,1,0,0,,,9,,13,23,0,0,1,,,,0,1,1014201
1875,Bill Boyd,BKA,0,0,0,1,0,0,0,0,,,1.2,,4,3,0,0,0,,,,0,0,1001274
1876,Joe Blong,STL,0,0,0,1,0,0,0,0,,,4,,2,0,0,0,1,,,0,0,0,1001083
1876,Charlie Gould,CIN,0,0,0,2,0,0,0,0,,,4.1,,10,9,0,0,0,,,0,0,0,1004901
1876,Flip Lafferty,PHN,0,1,0,1,1,1,0,0,,,9,,5,3,0,0,0,,,0,0,0,1007249
1876,John Peters,CHI,0,0,0,1,0,0,0,1,,,1,,1,1,0,0,1,,,0,0,0,1010232
1876,Deacon White,CHI,0,0,0,1,0,0,0,1,,,2,,1,0,0,0,0,,,0,0,3,1013860
1876,George Wright,BSN,0,0,0,1,0,0,0,0,,,1,,1,0,0,0,0,,,1,0,1,1014277
1880,Tom Burns,CHI,0,0,0,1,0,0,0,0,,,1.1,,2,4,0,0,2,,,0,0,1,1001720
1880,King Kelly,CHI,0,0,0,1,0,0,0,0,,,3,,3,2,0,0,1,,,0,0,1,1006806
1882,Ed Brown,STL,0,0,0,1,0,0,0,0,,,2,,2,1,0,0,0,,,0,0,1,1001513
1882,Charlie Comiskey,STL,0,1,0,2,1,1,0,0,,,8,,12,8,0,0,3,,,0,0,2,1002484
1882,John Morrill,BSN,0,0,0,1,0,0,0,0,,,2,,3,0,0,0,0,,,0,0,2,1009214
1882,Yank Robinson,DET,0,0,0,1,0,0,0,0,,,2,,0,0,0,0,1,,,0,0,0,1011079
1882,George Snyder,PHA,1,0,0,1,1,1,0,0,,,9,,4,3,0,0,2,,,0,0,0,1012246
1883,Cap Anson,CHI,0,0,0,2,0,0,0,1,,,3,,1,1,0,0,1,,,0,0,0,1000272
1883,Jake Evans,CLE,0,0,0,1,0,0,0,0,,,3,,0,0,0,0,0,,,0,0,1,1003866
1883,Curry Foley,BUF,1,0,0,1,0,0,0,0,,,1,,0,0,0,0,4,,,0,0,0,1004195
1883,King Kelly,CHI,0,0,0,1,0,0,0,0,,,1,,1,0,0,0,0,,,0,0,0,1006806
1884,Jack Corcoran,BRO,0,0,0,1,0,0,0,0,,,1,,0,0,0,0,1,,0,0,0,0,1002616
1884,Ed Coughlin,BUF,0,0,0,1,0,0,0,0,,,0,,3,4,0,0,0,,0,2,0,0,1002670
1884,Jim Fogarty,PHI,0,0,0,1,0,0,0,0,,,1,,2,2,0,0,0,,0,1,0,1,1004191
1884,Paul Hines,PRO,0,0,0,1,0,0,0,0,,,1,,3,1,0,0,0,,0,1,0,0,1005845
1884,Frank Kreeger,KCC,0,1,0,1,1,0,0,0,,,7,,9,8,0,0,5,,,0,0,3,1007150
1885,Jimmy Macullar,BAL,0,0,0,1,0,0,0,0,,,1,,0,0,0,0,0,,0,0,0,0,1007936
1885,Ed Seward,PRO,0,0,0,1,0,0,0,0,,,6,,2,0,0,0,0,,0,2,0,1,1011763
1885,Bill Stemmeyer,BSN,1,1,0,2,2,2,1,0,,,11,,7,7,0,0,11,,0,2,0,8,1012480
1885,Ned Williamson,CHI,0,0,0,2,0,0,0,2,,,6,,2,0,0,0,0,,0,0,0,3,1014027
1885,George Wood,DET,0,0,0,1,0,0,0,0,,,4,,5,2,0,0,1,,0,2,0,1,1014217
1886,Jim Fogarty,PHI,0,1,0,1,0,0,0,0,,,6,,7,6,0,1,0,,0,1,0,4,1004191
1886,Tommy McCarthy,PHI,0,0,0,1,0,0,0,0,,,1,,0,0,0,0,1,,0,0,0,1,1008379
1886,John Morrill,BSN,0,0,0,1,0,0,0,0,,,4,,5,1,0,0,0,,0,1,0,2,1009214
1886,Ned Williamson,CHI,0,0,0,2,0,0,0,1,,,3,,2,2,0,0,0,,0,0,0,1,1014027
1887,Lou Bierbauer,PHA,0,0,0,1,0,0,0,1,,,1,,0,0,0,0,0,,0,0,0,1,1000953
1887,Jocko Fields,PIT,0,0,0,1,0,0,0,0,,,1,,0,3,0,0,2,,0,1,0,0,1004029
1887,Jack Glasscock,IND,0,0,0,1,0,0,0,0,,,1,,0,0,0,0,0,,0,0,0,1,1004757
1887,Darby O'Brien,NYM,0,0,0,1,0,0,0,0,,,1,,1,0,0,0,1,,0,0,0,0,1009686
1887,Bob Pettit,CHI,0,0,0,1,0,0,0,1,,,1,,3,8,0,0,2,,0,3,0,0,1010248
1887,Danny Richardson,NYG,0,0,0,1,0,0,0,0,,,0,,0,0,0,0,1,,0,0,0,0,1010904
1888,Lou Bierbauer,PHA,0,0,0,1,0,0,0,0,,,3,,5,1,0,0,0,,0,0,0,3,1000953
1888,Jumbo Schoeneck,IND,0,0,0,2,0,0,0,0,,,4.1,,5,4,0,0,1,,0,1,0,1,1011599
1888,George Shoch,WAS,0,0,0,1,0,0,0,0,,,3,,2,0,0,0,1,,0,0,0,0,1011916
1889,Charlie Comiskey,STL,0,0,0,1,0,0,0,0,,,0.1,,0,0,0,0,0,,0,0,0,0,1002484
1889,Jack Glasscock,IND,0,0,0,1,0,0,0,0,,,0.2,,3,2,0,0,3,,0,1,0,0,1004757
1889,Arthur Irwin,WAS,0,0,0,1,0,0,0,0,,,1,,1,1,0,0,0,,0,0,0,0,1006276
1889,John Morrill,WAS,0,0,0,1,0,0,0,0,,,0.1,,0,0,0,0,0,,0,0,0,0,1009214
1889,Billy Nash,BSN,0,0,0,1,0,0,0,0,,,1,,0,0,0,0,1,,0,0,0,0,1009456
1889,Larry Twitchell,CLE,0,0,0,1,0,0,0,0,,,1,,0,0,0,0,1,,0,0,0,0,1013243
1890,Fred Demarais,CHI,0,0,0,1,0,0,0,0,,,2,,1,0,0,0,1,,0,2,0,1,1003189
1890,John Grim,RCH,0,0,0,1,0,0,0,0,,,3.1,,3,3,0,0,4,,0,0,0,3,1005067
1890,Billy Nash,BSR,0,0,0,1,0,0,0,0,,,0.1,,1,0,0,0,0,,0,0,0,0,1009456
1890,Joe Sommer,CLE,0,0,0,1,0,0,0,0,,,1,,2,3,0,1,2,,0,0,0,0,1012275
1891,Ed Clark,COL,0,0,0,1,0,0,0,0,,,2,,2,0,0,0,0,,0,0,0,1,1002279
1891,Kid Keenan,CKE,0,1,0,1,1,1,0,0,,,8,,6,9,0,0,4,,0,0,0,5,1006751
1891,Paul Radford,BSR,0,0,0,1,0,0,0,0,,,1,,0,0,0,0,0,,0,0,0,0,1010640
1891,Cyclone Ryan,BSN,0,0,0,1,0,0,0,0,,,3,,2,0,0,0,1,,0,0,0,0,1011336
1891,John Slagle,CKE,0,0,0,1,0,0,0,1,,,1.1,,3,0,0,0,1,,0,0,0,1,1012049
1892,Bumpus Jones,CIN,1,0,0,1,1,1,0,0,,,9,,0,1,0,0,4,,0,0,0,3,1006533
1893,Jimmy Ryan,CHI,0,0,0,1,0,0,0,0,,,4.2,,3,0,0,0,0,,0,0,0,1,1011341
1894,Kirtley Baker,BAL,0,1,0,1,0,0,0,0,,,0,,1,5,0,0,2,,0,0,0,0,1000462
1894,Jimmy Bannon,BSN,0,0,0,1,0,0,0,0,,,2,,4,3,0,1,1,,0,1,0,0,1000518
1894,Bones Ely,STL,0,0,0,1,0,0,0,0,,,1,,0,0,0,0,3,,0,1,0,0,1003761
1894,George Stultz,BSN,1,0,0,1,1,1,0,0,,,9,,4,2,0,0,5,,0,0,0,1,1012648
1894,Jake Virtue,CLE,0,0,0,1,0,0,0,0,,,0,,0,0,0,0,1,,0,0,0,0,1013440
1895,Bill Banks,BSN,1,0,0,1,1,1,0,0,,,7,,7,2,0,0,4,,0,0,0,4,1000511
1895,Bill Kling,LOU,0,0,0,1,0,0,0,0,,,1,,0,0,0,0,1,,0,0,0,0,1007006
1896,John Gilroy,WAS,0,0,0,1,0,0,0,0,,,2,,0,0,0,0,1,,0,0,0,0,1004737
1896,Bug Holliday,CIN,0,0,0,1,0,0,0,0,,,1,,4,3,0,0,2,,0,1,0,0,1005957
1896,Joe Kostal,LOU,0,0,0,2,0,0,0,0,,,2,,4,4,0,0,0,,0,0,0,0,1007121
1896,Patsy Tebeau,CLE,0,0,0,1,0,0,0,0,,,0,,1,0,0,0,0,,0,0,0,0,1012900
1896,John Wood,STL,0,0,0,1,0,0,0,0,,,0,,1,1,0,0,2,,0,0,0,0,1014223
1897,Joe Stanley,WAS,0,0,0,1,0,0,0,0,,,0.2,,0,0,0,0,0,,0,1,0,0,1012414
1899,Clay Fauver,LOU,1,0,0,1,1,1,0,0,,,9,,11,4,0,0,2,,0,0,0,1,1003962
1899,Lefty Herring,WAS,0,0,0,2,0,0,0,0,,,2,,0,0,0,0,2,,0,0,0,0,1005729
1899,Youngy Johnson,NYG,0,0,0,1,0,0,0,0,,,2,,0,0,0,0,2,,0,0,0,1,1006514
1899,Harry Lochhead,CLE,0,0,0,1,0,0,0,0,,,3.2,,4,2,0,0,2,,0,0,0,0,1007685
1899,Jay Parker,PIT,0,0,0,1,1,0,0,0,,,0,,0,2,0,0,2,,1,0,0,0,1010004
1899,Doc Sechrist,NYG,0,0,0,1,0,0,0,0,,,0,,0,0,0,0,2,,0,0,0,0,1011711
1900,Zaza Harvey,CHI,0,0,0,1,0,0,0,0,,,4,,3,0,0,0,1,,0,0,0,0,1005471
1900,George Van Haltren,NYG,0,0,0,1,0,0,0,0,,,3,,1,0,0,0,3,,0,0,0,0,1013357
1900,Honus Wagner,PIT,0,0,0,1,0,0,0,0,,,3,,3,3,0,0,4,,0,0,0,1,1013485
1901,Bill Bradley,CLE,0,0,0,1,0,0,0,0,,,1,,4,3,0,0,0,,0,0,0,0,1001304
1901,Harry Felix,NYG,0,0,0,1,0,0,0,0,,,2,,3,0,0,0,0,,0,0,0,0,1003973
1901,Charlie Ferguson,CHI,0,0,0,1,0,0,0,0,,,2,,1,0,0,0,2,,0,0,0,0,1003988
1901,Jimmy McAleer,CLE,0,0,0,1,0,0,0,0,,,0.1,,2,3,0,0,3,,0,3,0,0,1008322
1901,Bob Wicker,STL,0,0,0,1,0,0,0,0,,,3,,4,3,0,0,1,,0,0,0,2,1013916
1902,Mike Donlin,CIN,0,0,0,1,0,0,0,0,,,1,,1,0,0,0,0,,0,0,0,0,1003380
1902,Ed Fisher,DET,0,0,0,1,0,0,0,0,,,4,,4,5,0,0,1,,0,0,0,0,1004084
1902,Emmet Heidrick,SLB,0,0,0,1,0,0,0,0,,,1,,0,0,0,0,0,,0,0,0,0,1005587
1902,Joe Sugden,SLB,0,0,0,1,0,0,0,0,,,1,,1,0,0,0,0,,0,0,0,0,1012672
1902,Honus Wagner,PIT,0,0,0,1,0,0,0,0,,,5.1,,4,2,0,0,2,,0,3,0,5,1013485
1902,Bobby Wallace,SLB,0,0,0,1,1,0,0,0,,,2,,3,2,0,0,0,,0,0,0,1,1013542
1902,Lave Winham,BRO,0,0,0,1,0,0,0,0,,,3,,4,2,0,0,2,,0,0,0,1,1014134
1903,Bill Bartley,NYG,0,0,0,1,0,0,0,0,,,3,,3,4,0,0,4,,0,0,0,2,1000627
1903,Elmer Bliss,NYH,1,0,0,1,0,0,0,0,,,7,,4,1,0,0,0,,0,1,0,3,1001074
1903,Buck Hooker,CIN,0,0,0,1,0,0,0,0,,,2.1,,2,0,0,0,2,,0,0,0,0,1005998
1903,Ed Taylor,STL,0,0,0,1,0,0,0,0,,,3,,0,0,0,0,0,,0,0,0,1,1012869
1904,Jim Delahanty,BSN,0,0,0,1,0,0,0,0,,,3.1,,5,3,0,0,1,,0,0,0,0,1003157
1904,Jack Doscher,BRO,0,0,0,2,0,0,0,0,,,6.1,,1,1,0,0,1,,0,0,0,2,1003422
1904,Tom Dougherty,CHW,1,0,0,1,0,0,0,0,,,2,,0,0,0,0,0,,0,0,0,0,1003431
1905,Del Howard,PIT,0,0,0,1,0,0,0,0,,,6,,4,7,0,1,1,,1,0,0,0,1006076
1905,George Moore,PIT,0,0,0,1,0,0,0,0,,,3,,2,0,0,0,0,,0,0,0,1,1009108
1905,Ike Van Zandt,SLB,0,0,0,1,0,0,0,0,,,6.2,,2,0,0,0,2,,1,0,0,3,1013365
1906,Jack Cameron,BSN,0,0,0,2,1,0,0,0,,,6,,4,0,0,0,6,,0,0,0,2,1001859
1906,Frank Isbell,CHW,0,0,0,1,0,0,0,0,,,2,,1,0,0,0,0,,0,1,0,2,1006283
1906,Rube Kroh,BOS,1,0,0,1,1,1,1,0,,,9,,2,0,0,0,4,,0,0,0,5,1007170
1906,Eddie Tiemeyer,CIN,0,0,0,1,0,0,0,0,,,1,,1,0,0,0,1,,0,0,0,1,1013059
1907,King Brady,PIT,0,0,0,1,0,0,0,0,,,2,,2,1,0,0,1,,0,0,0,0,1001328
1907,Harry Coveleski,PHI,1,0,0,4,0,0,0,0,,,20,,10,2,0,0,3,,1,0,0,6,1002681
1907,Sam Hope,PHA,0,0,0,1,0,0,0,0,,,0.1,,3,1,0,0,0,,0,0,0,0,1006012
1907,Frank Isbell,CHW,0,0,0,1,0,0,0,1,,,0.1,,0,0,0,0,0,,0,0,0,0,1006283
1907,Henry Mathewson,NYG,0,0,0,1,0,0,0,1,,,1,,1,0,0,0,0,,0,1,0,0,1008238
1908,King Brady,BOS,1,0,0,1,1,1,1,0,,,9,,8,0,0,0,0,,0,0,0,3,1001328
1908,Hal Chase,NYH,0,0,0,1,0,0,0,0,,,0.1,,0,0,0,0,0,,0,0,0,0,1002163
1908,Homer Hillebrand,PIT,0,0,0,1,0,0,0,0,,,1,,1,0,0,0,0,,0,0,0,1,1005815
1908,Earl Moore,PHI,2,1,0,3,3,3,1,0,,,26,,20,4,0,0,8,,2,1,0,16,1009103
1909,Joe Bernard,STL,0,0,0,1,0,0,0,0,,,1,,1,0,0,0,2,,0,1,0,2,1000888
1909,Chet Carmichael,CIN,0,0,0,2,0,0,0,0,,,7,,9,6,0,0,3,,2,0,0,2,1001970
1909,King Cole,CHC,1,0,0,1,1,1,1,0,,,9,,6,0,0,0,3,,0,0,0,1,1002416
1909,Orth Collins,WAS,0,0,0,1,0,0,0,0,,,1,,0,0,0,0,0,,0,0,0,1,1002458
1909,Chick Fraser,CHC,0,0,0,1,0,0,0,0,,,3,,2,1,0,0,4,,0,0,0,1,1004305
1909,Charlie Wacker,PIT,0,0,0,1,0,0,0,0,,,2,,2,2,0,0,1,,0,0,0,0,1013465
1909,Red Waller,NYG,0,0,0,1,0,0,0,0,,,1,,3,2,0,0,0,,0,0,0,1,1013556
1910,Roger Bresnahan,STL,0,0,0,1,0,0,0,0,,,3.1,,6,1,0,0,1,,0,0,0,0,1001396
1910,Bill Chambers,STL,0,0,0,1,0,0,0,0,,,1,,1,1,0,0,0,,0,0,0,0,1002117
1910,Skip Dowd,PIT,0,0,0,1,0,0,0,0,,,2,,4,4,0,0,2,,1,0,0,1,1003441
1910,Patsy Flaherty,PHI,0,0,0,1,0,0,0,0,,,0.1,,1,4,0,0,1,,0,0,0,0,1004129
1910,Jack Mercer,PIT,0,0,0,1,0,0,0,0,,,1,,0,0,0,0,2,,0,0,0,1,1008774
1910,Bill O'Hara,STL,0,0,0,1,0,0,0,0,,,1,,0,0,0,0,0,,0,0,0,0,1009751
1910,Lefty Russell,PHA,1,0,0,1,1,1,1,0,,,9,,8,0,0,0,2,,0,0,0,5,1011318
1911,Raleigh Aitchison,BRO,0,1,0,1,0,0,0,0,,,1.1,,1,2,0,0,1,,0,0,0,0,1000093
1911,Howard Armstrong,PHA,0,1,0,1,0,0,0,0,,,3,,3,2,0,0,1,,0,0,0,0,1000312
1911,Harry Camnitz,STL,1,0,0,2,0,0,0,0,,,2,,0,0,0,0,1,,0,0,0,2,1001865
1911,Larry Cheney,CHC,1,0,0,3,1,0,0,0,,,10,,8,0,0,0,3,,0,0,0,11,1002176
1911,Jake Smith,PHI,0,0,0,2,0,0,0,0,,,5,,3,0,0,0,2,,0,0,0,1,1012158
1911,Blaine Thomas,BOS,0,0,0,2,2,0,0,0,,,4.2,,3,2,0,0,7,,1,0,0,0,1012965
1912,Bill Brady,BSN,0,0,0,1,0,0,0,0,,,1,,2,0,0,0,0,,0,0,0,0,1001322
1912,Bill Cramer,CIN,0,0,0,1,0,0,0,0,,,2.1,,6,6,0,0,0,,0,1,0,2,1002725
1912,Bob Ewing,STL,0,0,0,1,1,0,0,0,,,1.1,,2,0,0,0,1,,0,0,0,0,1003880
1912,Bert Gallia,WAS,0,0,0,2,0,0,0,0,,,2,,0,0,0,0,3,,0,0,0,0,1004460
1912,Harry Gardner,PIT,0,0,0,1,0,0,0,0,,,0.1,,3,6,0,0,1,,0,0,0,0,1004525
1912,Slim Harrell,PHA,0,0,0,1,0,0,0,0,,,3,,4,0,0,0,0,,0,0,0,1,1005391
1912,Herb Herring,WAS,0,0,0,1,0,0,0,0,,,1,,1,0,0,0,1,,0,0,0,0,1005728
1912,Pat McGehee,DET,0,0,0,1,1,0,0,0,,,0,,1,0,0,0,1,,0,0,0,0,1008515
1912,Jim Neher,CLE,0,0,0,1,0,0,0,0,,,1,,0,0,0,0,0,,0,0,0,0,1009484
1912,Germany Schaefer,WAS,0,0,0,1,0,0,0,0,,,0.2,,1,0,0,0,0,,0,0,0,0,1011506
1912,Hack Spencer,SLB,0,0,0,1,0,0,0,0,,,1.2,,2,2,0,0,0,,0,0,0,0,1012324
1912,Chuck Tompkins,CIN,0,0,0,1,0,0,0,0,,,3,,5,1,0,0,0,,0,0,0,1,1013113
1912,Mysterious Walker,CLE,0,0,0,1,0,0,0,0,,,1,,0,0,0,0,1,,0,1,0,0,1013529
1912,Roy Walker,CLE,0,0,0,1,0,0,0,0,,,2,,0,0,0,0,2,,0,0,0,1,1013531
1912,Huck Wallace,PHI,0,0,0,4,0,0,0,0,,,4.2,,7,5,0,0,4,,0,1,0,4,1013547
1913,Jack Bentley,WAS,1,0,0,3,1,0,0,1,,,11,,5,0,0,0,2,,1,1,0,5,1000852
1913,Rex Dawson,WAS,0,0,0,1,0,0,0,0,,,1,,1,0,0,0,0,,0,0,0,1,1003093
1913,Joe Gedeon,WAS,0,0,0,1,0,0,0,1,,,0.1,,0,0,0,0,0,,0,0,0,0,1004591
1913,Clark Griffith,WAS,0,0,0,1,0,0,0,0,,,1,,1,0,0,0,0,,0,0,0,0,1005038
1913,Harry Hedgpeth,WAS,0,0,0,1,0,0,0,1,,,1,,1,0,0,0,0,,0,0,0,0,1005574
1913,Chet Hoff,NYY,0,0,0,2,0,0,0,0,,,3,,0,0,0,0,1,,0,0,0,2,1005898
1913,Harry Hooper,BOS,0,0,0,1,0,0,0,0,,,2,,2,0,0,0,1,,0,0,0,0,1006002
1913,Ed Konetchy,STL,1,0,0,1,0,0,0,0,,,4.2,,1,0,0,0,4,,0,0,0,3,1007093
1913,Jack Powell,SLB,0,0,0,2,0,0,0,0,,,2,,1,3,0,0,2,,0,0,0,0,1010488
1913,Jim Scoggins,CHW,0,1,0,1,1,0,0,0,,,0,,0,1,0,0,1,,0,0,0,0,1011669
1913,Zip Zabel,CHC,1,0,0,1,1,0,0,0,,,5,,3,0,0,0,1,,1,0,0,0,1014402
1914,Nick Altrock,WAS,0,0,0,1,0,0,0,0,,,1,,3,0,0,0,0,,0,0,0,0,1000191
1914,Frank Barron,WAS,0,0,0,1,0,0,0,0,,,1,,1,0,0,0,0,,0,0,0,1,1000609
1914,George Beck,CLE,0,0,0,1,0,0,0,0,,,1,,1,0,0,0,0,,1,0,0,0,1000753
1914,Henry Benn,CLE,0,0,0,1,0,0,0,0,,,1,,0,0,0,0,0,,0,0,0,1,1000848
1914,Eric Erickson,NYG,0,1,0,1,1,0,0,0,,,5,,8,7,0,0,3,,0,0,0,3,1003806
1914,Clark Griffith,WAS,0,0,0,1,0,0,0,1,,,1,,1,0,0,0,0,,0,0,0,1,1005038
1914,Ed Kelly,BOS,0,0,0,3,0,0,0,0,,,2.1,,1,1,0,0,1,,0,0,0,4,1006798
1914,Dixie McArthur,PIT,0,0,0,1,0,0,0,0,,,1,,1,0,0,0,0,,0,0,0,1,1008329
1914,John McGraw,BKF,0,0,0,1,0,0,0,0,,,2,,0,0,0,0,0,,1,0,0,2,1008543
1914,Dan Sherman,CWH,0,1,0,1,1,0,0,0,,,0.1,,0,2,0,0,2,,0,0,0,0,1011878
1914,Ducky Swan,KCP,0,0,0,1,0,0,0,0,,,1,,0,0,0,0,1,,0,0,0,1,1012757
1914,Lefty Williams,DET,0,1,0,1,1,0,0,0,,,1,,3,5,0,0,2,,0,0,0,0,1014015
1915,Al Braithwood,PRB,0,0,0,2,0,0,0,0,,,3,,0,0,0,0,0,,0,0,0,2,1001337
1915,Guy Cooper,BOS,0,0,0,1,0,0,0,0,,,2,,0,0,0,0,2,,0,0,0,0,1002597
1915,Dixie Davis,CHW,0,0,0,2,0,0,0,0,,,3,,2,0,0,0,2,,1,0,0,2,1003045
1915,Ben Harris,KCP,0,0,0,1,0,0,0,0,,,2,,1,0,0,0,0,,0,0,0,0,1005395
1915,Herbert Hill,CLE,0,0,0,1,0,0,0,0,,,2,,1,0,0,0,2,,0,0,0,0,1005821
1915,Razor Ledbetter,DET,0,0,0,1,0,0,0,0,,,1,,1,0,0,0,0,,0,0,0,0,1007443
1915,Sam Mayer,WAS,0,0,0,1,0,0,0,0,,,0,,0,0,0,0,2,,0,0,0,0,1008298
1915,Johnny Miljus,PRB,0,0,0,1,0,0,0,0,,,1,,1,0,0,0,0,,0,0,0,0,1008866
1915,Elmer Myers,PHA,1,0,0,1,1,1,1,0,,,9,,2,0,0,0,5,,0,0,0,12,1009419
1915,Phil Slattery,PIT,0,0,0,3,0,0,0,0,,,8,,5,0,0,0,1,,2,0,0,1,1012057
1915,Gil Whitehouse,NWK,0,0,0,1,0,0,0,0,,,1,,0,0,0,0,1,,0,0,0,0,1013875
1915,Kaiser Wilhelm,BAL,0,0,0,1,0,0,0,0,,,1,,0,0,0,0,0,,0,0,0,0,1013947
1916,Jack Bentley,WAS,0,0,0,2,0,0,0,0,,,1.1,4,0,0,0,0,1,,0,0,0,1,1000852
1916,Mike Cantwell,NYY,0,0,0,1,0,0,0,0,,,2,6,0,2,0,0,2,,0,0,0,0,1001922
1916,Bill Donovan,NYY,0,0,0,1,0,0,0,0,,,1,5,1,0,0,0,1,,0,0,0,0,1003393
1916,Red Gunkel,CLE,0,0,0,1,0,0,0,0,,,1,4,0,2,0,0,1,,1,0,0,1,1005145
1916,Hank Ritter,NYG,1,0,0,3,0,0,0,0,,,5,17,3,0,0,0,0,,1,1,0,3,1010992
1917,Cal Crum,BSN,0,0,0,1,0,0,0,0,,,1,22,1,5,0,0,1,,0,1,0,0,1002832
1917,George Dickerson,CLE,0,0,0,1,0,0,0,0,,,1,3,0,0,0,0,0,,0,0,0,0,1003273
1917,Rich Durning,BRO,0,0,0,1,0,0,0,0,,,1,3,0,0,0,0,0,,0,0,0,0,1003595
1917,George Kelly,NYG,1,0,0,1,0,0,0,0,,,5,20,4,0,0,0,1,,0,0,0,2,1006799
1917,Tim Murchison,STL,0,0,0,1,0,0,0,0,,,1,5,0,0,0,0,2,,0,0,0,2,1009340
1917,Kewpie Pennington,SLB,0,0,0,1,0,0,0,0,,,1,4,1,0,0,0,0,,0,0,0,0,1010160
1917,Walt Smallwood,NYY,0,0,0,2,0,0,0,0,,,2,7,1,0,0,0,1,,0,0,0,1,1012079
1918,Walter Bernhardt,NYY,0,0,0,1,0,0,0,0,,,0.2,2,0,0,0,0,0,,0,0,0,1,1000893
1918,Ben Dyer,DET,0,0,0,2,0,0,0,0,,,1.2,5,0,0,0,0,0,,0,0,0,0,1003612
1918,Alex Ferguson,NYY,0,0,0,1,0,0,0,0,,,1.2,8,2,0,0,0,2,,0,0,0,1,1003984
1918,Jake Hehl,BRO,0,0,0,1,0,0,0,0,,,1,4,0,0,0,0,0,,1,0,0,0,1005585
1918,Marty Herrmann,BRO,0,0,0,1,0,0,0,0,,,1,4,0,0,0,0,1,,0,0,0,0,1005734
1918,Earl Howard,STL,0,0,0,1,0,0,0,0,,,2,7,0,0,0,0,2,,0,0,0,0,1006078
1918,Waite Hoyt,NYG,0,0,0,1,0,0,0,0,,,1,3,0,0,0,0,0,,0,0,0,2,1006115
1918,Bob McGraw,NYY,0,1,0,1,1,0,0,0,,,0,4,0,4,0,0,4,,0,0,0,0,1008540
1918,Gene Paulette,STL,0,0,0,1,0,0,0,0,,,0.1,2,1,0,0,0,0,,0,0,0,0,1010080
1918,Jeff Pfeffer,BRO,1,0,0,1,1,1,1,0,,,9,31,2,0,0,0,3,,0,0,0,1,1010264
1918,Stan Rees,WAS,1,0,0,2,0,0,0,0,,,2,10,3,0,0,0,4,,0,0,0,1,1010779
1918,George Ross,NYG,0,0,0,1,0,0,0,0,,,2.1,12,2,0,0,0,3,,0,0,0,2,1011231
1918,Roy Wilkinson,CLE,0,0,0,1,0,0,0,0,,,1,3,0,0,0,0,0,,0,0,0,0,1013961
1918,Weldon Wyckoff,BOS,0,0,0,1,0,0,0,0,,,2,11,4,1,0,0,1,,0,0,0,2,1014305
1919,Nick Altrock,WAS,0,0,0,1,0,0,0,0,,,0,4,4,4,0,0,0,,0,0,0,0,1000191
1919,Joe Benz,CHW,0,0,0,1,0,0,0,0,,,2,8,2,1,0,0,0,,0,0,0,0,1000860
1919,Joe Engel,CLE,0,0,0,1,0,0,0,0,,,0,3,0,3,0,0,3,,0,0,0,0,1003777
1919,Mike Regan,CIN,0,0,0,1,0,0,0,0,,,2.1,8,1,1,0,0,0,,0,0,0,1,1010784
1919,Art Reinhart,STL,0,0,0,1,0,0,0,0,,,0,1,0,0,0,0,0,,1,0,0,0,1010810
1919,Reb Russell,CHW,0,0,0,1,0,0,0,0,,,0,2,1,0,0,0,1,,0,0,0,0,1011321
1919,Joe Wood,CLE,0,0,0,1,0,0,0,1,,,0.2,3,0,0,0,0,0,,0,0,0,0,1014224
1920,Jerry Conway,WAS,0,0,0,1,0,0,0,0,,,2,7,1,0,0,0,1,,0,0,0,0,1002554
1920,George Ellison,CLE,0,0,0,1,0,0,0,0,,,1,7,0,0,0,0,2,,0,0,0,1,1003748
1920,Bob Glenn,STL,0,0,0,2,0,0,0,0,,,2,9,2,0,0,0,0,,0,0,1,0,1004777
1920,George Lowe,CIN,0,0,0,1,0,0,0,0,,,2,7,1,0,0,0,1,,0,0,0,0,1007789
1920,Johnny Morrison,PIT,1,0,0,2,1,1,1,0,,,7,25,4,0,0,0,1,,0,0,0,3,1009217
1920,Tim Murchison,CLE,0,0,0,2,0,0,0,0,,,5,19,3,1,0,0,4,,0,0,0,0,1009340
1920,George Sisler,SLB,0,0,0,1,0,0,0,1,,,1,4,0,0,0,0,0,,0,0,0,2,1012021
1920,Jack Theis,CIN,0,0,0,1,0,0,0,0,,,2,10,1,0,0,0,3,,0,0,0,0,1012948
1920,Lou Vedder,DET,0,0,0,1,0,0,0,0,,,2,6,0,0,0,0,0,,0,0,0,1,1013392
1921,Charlie Blackburn,CHW,0,0,0,1,0,0,0,0,,,1,3,0,0,0,0,1,,0,0,0,0,1001008
1921,George Boehler,SLB,0,0,0,1,0,0,0,0,,,1,3,1,0,0,0,0,,0,0,0,0,1001114
1921,Dan Boone,DET,0,0,0,1,0,0,0,0,,,2,9,1,1,0,0,2,,0,0,0,0,1001184
1921,Nemo Gaines,WAS,0,0,0,4,0,0,0,0,,,4.2,19,5,0,0,0,2,,0,0,0,1,1004435
1921,Fred Heimach,PHA,1,0,0,1,1,1,1,0,,,9,32,7,0,0,0,1,,0,0,0,1,1005591
