Season,Name,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,playerid
2015,Clint Robinson,126,352,10,44,34,0,10.50%,14.80%,0.152,0.298,0.272,0.358,0.424,0.34,,114,-2.2,3.7,-9.2,0.6,6908
2004,Endy Chavez,132,547,5,65,34,32,5.50%,7.30%,0.094,0.292,0.277,0.318,0.371,0.303,,76,4.8,-12.3,-0.3,0.6,768
2005,Jamey Carroll,113,358,0,44,22,3,9.50%,15.40%,0.033,0.303,0.251,0.333,0.284,0.285,,72,3.1,-9.4,3.4,0.6,1591
2001,Javier Vazquez,32,82,0,5,1,0,2.40%,13.40%,0.032,0.308,0.258,0.288,0.29,0.258,,46,0,-5.8,8.9,0.6,801
2007,Wily Mo Pena,37,145,8,24,22,2,5.50%,24.80%,0.211,0.348,0.293,0.352,0.504,0.367,,122,1.1,5.2,-4.4,0.6,344
1971,Steve Renko,41,106,2,9,12,0,1.90%,19.80%,0.11,0.247,0.21,0.225,0.32,0.247,,50,0,-5.8,7.3,0.5,1010835
1974,Larry Parrish,25,79,0,9,4,0,7.60%,24.10%,0.072,0.28,0.203,0.286,0.275,0.257,,51,0,-4.4,7.5,0.5,1010020
1969,Ron Brand,103,325,0,19,20,2,9.20%,5.80%,0.042,0.273,0.258,0.327,0.3,0.289,,76,-0.6,-9.7,3.7,0.5,1001351
2017,Howie Kendrick,52,178,7,24,25,4,6.20%,21.30%,0.201,0.342,0.293,0.343,0.494,0.354,,115,0.2,3.6,-4.1,0.5,4229
1998,Brad Fullmer,140,547,13,58,73,6,7.10%,12.80%,0.172,0.296,0.273,0.327,0.446,0.335,,100,-1.4,-1.2,-10.4,0.5,13
1999,Javier Vazquez,26,53,0,4,5,0,5.70%,15.10%,0.048,0.353,0.286,0.333,0.333,0.304,,72,0,-2,6,0.5,801
1975,Tim Foli,152,630,1,64,29,13,5.70%,7.80%,0.056,0.257,0.238,0.284,0.294,0.266,,56,1.5,-30.5,15.9,0.5,1004202
1992,Wil Cordero,45,137,2,17,8,0,6.60%,22.60%,0.095,0.387,0.302,0.353,0.397,0.343,,118,0,2.7,-2.3,0.5,770
2012,Michael Morse,102,430,18,53,62,0,3.70%,22.60%,0.18,0.339,0.291,0.321,0.47,0.34,,113,-6.1,0.5,-8.5,0.5,3035
1996,Lenny Webster,78,203,2,18,17,0,12.30%,10.30%,0.092,0.25,0.23,0.332,0.322,0.299,,77,-0.1,-5.9,5,0.5,1013718
2001,Tim Raines,47,97,0,13,4,1,18.60%,6.20%,0.128,0.329,0.308,0.433,0.436,0.386,,129,0.2,3.9,-1.7,0.5,1406
2017,Adam Eaton,23,107,2,24,13,3,13.10%,16.80%,0.165,0.347,0.297,0.393,0.462,0.369,,124,1.8,5.1,-3.5,0.5,11205
1979,Dan Schatzeder,32,59,1,6,8,0,10.20%,22.00%,0.078,0.263,0.216,0.293,0.294,0.272,,66,0,-2.4,5.3,0.5,1011527
1981,John Milner,31,88,3,6,9,0,13.60%,6.80%,0.184,0.224,0.237,0.341,0.421,0.343,,115,-0.4,1.1,0.9,0.5,1008965
2004,Nick Johnson,73,295,7,35,33,6,13.60%,19.70%,0.147,0.299,0.251,0.359,0.398,0.336,,97,1.1,0.1,-4.8,0.5,828
2018,Victor Robles,21,66,3,8,10,3,6.10%,18.20%,0.237,0.311,0.288,0.348,0.525,0.37,,131,-0.4,2.1,0.7,0.5,18363
2006,Nook Logan,27,99,1,13,8,2,6.10%,20.20%,0.089,0.366,0.3,0.337,0.389,0.313,,88,2.5,0.9,1,0.5,2076
1977,Barry Foote,15,53,2,4,8,0,7.50%,18.90%,0.224,0.27,0.245,0.302,0.469,0.337,,106,0,0.4,2.8,0.5,1004210
1989,Rex Hudler,92,163,6,21,13,15,3.70%,14.10%,0.161,0.254,0.245,0.278,0.406,0.303,,93,1.4,0.1,-0.6,0.5,1006131
2011,Laynce Nix,124,351,16,38,44,2,6.60%,23.40%,0.201,0.284,0.25,0.299,0.451,0.324,,103,2.2,3.3,-9.3,0.5,1766
2007,Nook Logan,118,350,0,39,21,23,5.40%,24.60%,0.08,0.358,0.265,0.304,0.345,0.288,,71,1.8,-11.4,4.9,0.5,2076
1999,Peter Bergeron,16,55,0,12,1,0,16.40%,9.10%,0.044,0.275,0.244,0.37,0.289,0.317,,81,0,-1.4,4.5,0.5,763
1992,Gary Carter,95,325,5,24,29,0,10.20%,11.40%,0.123,0.231,0.218,0.299,0.34,0.29,,82,-1.6,-8.1,2.4,0.5,1002015
1973,Jim Lyttle,49,130,4,12,19,0,6.90%,10.80%,0.164,0.257,0.259,0.305,0.422,0.318,,92,-0.7,-1.9,2.6,0.5,1007893
1976,Bombo Rivera,68,199,2,22,19,1,6.50%,16.10%,0.135,0.325,0.276,0.323,0.411,0.336,,104,0.2,1.1,-3.2,0.5,1011000
1995,Dave Silvestri,39,83,2,12,7,2,10.80%,32.50%,0.167,0.386,0.264,0.341,0.431,0.341,,103,0.4,0.7,1.3,0.5,1011972
2008,Anderson Hernandez,28,91,0,11,17,0,11.00%,8.80%,0.049,0.37,0.333,0.407,0.383,0.36,,117,0.4,2.3,-0.5,0.5,3366
1991,Tim Wallach,151,637,13,60,73,2,7.80%,15.70%,0.109,0.25,0.225,0.292,0.334,0.282,,76,-1.2,-18.2,2.4,0.5,1013554
2013,Adam LaRoche,152,590,20,70,62,4,12.20%,22.20%,0.166,0.277,0.237,0.332,0.403,0.321,,102,-0.3,1,-14.3,0.5,1904
1989,Wallace Johnson,85,125,2,9,17,1,5.60%,9.60%,0.096,0.284,0.272,0.309,0.368,0.306,,95,0.1,-0.6,1.2,0.5,1006513
1970,Boots Day,41,118,0,14,5,3,5.10%,15.30%,0.037,0.322,0.269,0.307,0.306,0.274,,61,-0.2,-5.9,6.6,0.5,1003095
2012,Wilson Ramos,25,96,3,11,10,0,12.50%,19.80%,0.133,0.306,0.265,0.354,0.398,0.326,,103,0.8,1.1,0.4,0.5,1433
2017,Brian Goodwin,74,278,13,41,30,6,8.30%,24.80%,0.247,0.291,0.251,0.313,0.498,0.337,,103,-0.2,1,-5.4,0.5,12858
1990,Kevin Gross,32,59,1,3,4,0,3.40%,35.60%,0.14,0.321,0.2,0.231,0.34,0.255,,54,0,-3.1,5.5,0.5,1005088
2012,Jordan Zimmermann,32,66,1,5,4,0,6.10%,19.70%,0.088,0.233,0.193,0.246,0.281,0.236,,42,-0.1,-4.6,7,0.5,4505
2010,Danny Espinosa,28,112,6,16,15,0,8.00%,26.80%,0.233,0.239,0.214,0.277,0.447,0.311,,90,-0.2,-1.6,2.6,0.5,9219
2005,Marlon Byrd,74,244,2,20,26,5,7.40%,19.30%,0.116,0.322,0.264,0.318,0.38,0.305,,85,-2.1,-6.7,3.3,0.5,950
1988,Mike Fitzgerald,63,180,5,17,23,2,10.60%,12.20%,0.148,0.285,0.271,0.347,0.419,0.345,,123,-0.5,3.9,-5.8,0.5,1004114
1995,Tim Spehr,41,44,1,4,3,0,13.60%,15.90%,0.229,0.296,0.257,0.366,0.486,0.374,,125,0,1.4,1.8,0.5,1012315
2015,Matt den Dekker,55,110,5,12,12,0,8.20%,18.20%,0.232,0.27,0.253,0.315,0.485,0.343,,117,0.2,2.3,-1.4,0.4,11385
1994,Rondell White,40,109,2,16,13,1,8.30%,16.50%,0.186,0.325,0.278,0.358,0.464,0.361,,115,-0.2,1.8,-0.8,0.4,856
1999,Orlando Cabrera,104,407,8,48,39,2,4.40%,9.30%,0.149,0.265,0.254,0.293,0.403,0.3,,70,-0.5,-17.3,8.4,0.4,766
1980,Rodney Scott,154,655,0,84,46,63,10.70%,11.50%,0.069,0.255,0.224,0.307,0.293,0.28,,73,7.4,-12.5,-4.1,0.4,1011693
1985,Dan Driessen,91,350,6,31,25,2,9.40%,8.30%,0.115,0.258,0.25,0.324,0.365,0.302,,91,-0.5,-3.9,-3.1,0.4,1003501
1984,Derrel Thomas,108,269,0,26,20,0,7.40%,12.30%,0.066,0.291,0.255,0.308,0.321,0.286,,80,-1.6,-7.6,3.1,0.4,1012971
1994,Butch Henry,24,39,0,5,2,0,7.70%,15.40%,0.032,0.36,0.29,0.353,0.323,0.312,,82,0,-0.9,4.1,0.4,1005667
1974,Gary Carter,9,29,1,5,6,2,3.40%,6.90%,0.185,0.4,0.407,0.414,0.593,0.445,,174,0.4,2.8,0.3,0.4,1002015
1986,Andres Galarraga,105,356,10,39,42,6,8.40%,22.20%,0.134,0.33,0.271,0.338,0.405,0.329,,106,-0.8,1.9,-9.3,0.4,1390
2001,Brian Schneider,27,48,1,4,6,0,12.50%,6.30%,0.146,0.316,0.317,0.396,0.463,0.366,,116,0,1,1.7,0.4,795
1985,Bryn Smith,32,86,1,6,4,0,3.50%,27.90%,0.056,0.277,0.194,0.227,0.25,0.218,,33,0,-6.6,7.8,0.4,1012104
2002,Jose Macias,90,252,7,33,33,5,5.20%,17.50%,0.173,0.284,0.255,0.294,0.429,0.312,,84,0.1,-5.1,1.1,0.4,476
2018,Matt Wieters,76,271,8,24,30,0,11.10%,16.60%,0.136,0.261,0.238,0.33,0.374,0.308,,89,-1.2,-4.7,0.2,0.4,4298
1976,Mike Jorgensen,125,399,6,36,23,7,13.00%,12.00%,0.09,0.277,0.254,0.349,0.344,0.32,,94,0.9,-1.8,-7.3,0.4,1006622
1978,Dan Schatzeder,32,49,1,3,7,1,4.10%,14.30%,0.111,0.243,0.222,0.255,0.333,0.268,,65,0.2,-1.7,4,0.4,1011527
2002,Endy Chavez,36,138,1,20,9,3,3.60%,11.60%,0.168,0.33,0.296,0.321,0.464,0.336,,100,-0.7,-0.7,0.4,0.4,768
2006,Marlon Byrd,78,228,5,28,18,3,9.60%,20.60%,0.127,0.265,0.223,0.317,0.35,0.298,,78,0.1,-6.5,3.2,0.4,950
1983,Ray Burris,40,45,0,2,2,0,8.90%,33.30%,0.051,0.375,0.231,0.302,0.282,0.273,,70,0,-1.6,4,0.4,1001729
1974,Steve Renko,37,88,1,8,4,0,5.70%,23.90%,0.099,0.271,0.21,0.256,0.309,0.261,,54,0,-4.6,5.6,0.4,1010835
2009,Ian Desmond,21,89,4,9,12,1,5.60%,15.70%,0.28,0.292,0.28,0.318,0.561,0.37,,125,0.8,3.5,-2.3,0.4,6885
2018,Howie Kendrick,40,160,4,17,12,1,3.10%,18.10%,0.171,0.35,0.303,0.331,0.474,0.342,,112,-2.3,0.1,-1.3,0.4,4229
1973,Larry Lintz,52,141,0,20,3,12,12.10%,12.80%,0.009,0.296,0.25,0.351,0.259,0.296,,78,0.9,-2.7,2.1,0.4,1007641
1969,Larry Jaster,24,20,0,2,2,0,5.00%,5.00%,0.053,0.444,0.421,0.45,0.474,0.421,,162,0,1.4,1.5,0.4,1006367
2006,Mike Vento,9,22,0,3,1,0,18.20%,22.70%,0.056,0.385,0.278,0.409,0.333,0.33,,99,0.2,0.1,3.2,0.4,2149
2012,Edwin Jackson,34,65,0,6,0,0,4.60%,32.30%,0,0.361,0.228,0.267,0.228,0.226,,36,-0.1,-5.1,6.9,0.4,1841
2011,Roger Bernadina,91,337,7,40,27,17,6.50%,18.70%,0.12,0.285,0.243,0.301,0.362,0.295,,83,1.1,-5.3,-1.2,0.4,6421
2018,Wilmer Difo,148,456,7,55,42,10,8.60%,18.00%,0.12,0.269,0.23,0.298,0.35,0.28,,71,0.7,-15.3,4.7,0.4,14320
1987,Hubie Brooks,112,459,14,57,72,4,5.20%,15.70%,0.163,0.284,0.263,0.301,0.426,0.313,,88,-0.6,-7.4,-4.3,0.4,1001472
2018,Tanner Roark,31,65,0,6,8,0,1.50%,29.20%,0.069,0.282,0.19,0.217,0.259,0.209,,23,0,-6.1,7.8,0.4,8753
2016,Joe Ross,23,44,0,2,1,0,6.80%,34.10%,0.049,0.385,0.244,0.295,0.293,0.263,,57,0,-2.3,4.8,0.4,12972
1996,Andy Stankiewicz,64,88,0,12,9,1,6.80%,13.60%,0.091,0.333,0.286,0.356,0.377,0.326,,96,0.2,-0.2,1.5,0.4,1012405
1981,Bill Lee,31,22,1,1,2,0,0.00%,18.20%,0.136,0.412,0.364,0.364,0.5,0.393,,148,0,1.2,1.6,0.4,1007448
1984,Bryan Little,85,309,0,31,9,2,11.00%,6.10%,0.049,0.263,0.244,0.332,0.293,0.295,,86,-0.8,-5.7,-0.9,0.4,1007658
2007,Jesus Flores,79,197,4,21,25,0,7.10%,24.40%,0.117,0.313,0.244,0.31,0.361,0.301,,79,-0.7,-6,3.4,0.4,4166
2000,Javier Vazquez,33,80,0,4,1,0,2.50%,18.80%,0.031,0.3,0.231,0.254,0.262,0.233,,28,0,-7.9,9.2,0.4,801
1997,Ryan McGuire,84,222,3,22,17,1,8.60%,15.30%,0.141,0.294,0.256,0.32,0.397,0.316,,86,-1.5,-5.3,2,0.4,155
2008,Austin Kearns,86,357,7,40,32,2,9.80%,17.60%,0.099,0.25,0.217,0.311,0.316,0.289,,70,0,-13.4,5.7,0.4,332
1979,Tony Solaita,29,53,1,5,7,0,20.80%,30.20%,0.167,0.44,0.286,0.434,0.452,0.404,,154,0,3.4,-1.6,0.4,1012265
1972,John Boccabella,83,222,1,14,10,1,4.10%,13.10%,0.063,0.256,0.227,0.259,0.29,0.246,,50,-0.5,-12.6,9.7,0.4,1001104
2012,Jhonatan Solano,12,37,2,6,6,1,5.40%,13.50%,0.257,0.321,0.314,0.351,0.571,0.386,,143,0.2,2.1,0.3,0.4,7515
1979,Ken Macha,25,40,0,8,4,0,5.00%,22.50%,0.139,0.37,0.278,0.333,0.417,0.326,,102,0,0.1,2.1,0.4,1007908
1977,Larry Parrish,123,449,11,50,46,2,8.20%,15.80%,0.139,0.272,0.246,0.314,0.386,0.306,,86,-0.9,-8.7,-2.3,0.4,1010020
2009,Michael Morse,32,55,3,4,10,0,5.50%,29.10%,0.231,0.303,0.25,0.291,0.481,0.331,,99,0.1,0,1.9,0.4,3035
1985,U L Washington,68,209,1,24,17,6,7.20%,15.80%,0.104,0.294,0.249,0.301,0.352,0.292,,84,-0.1,-3.8,0.4,0.4,1013659
2015,Max Scherzer,34,77,0,4,0,0,2.60%,29.90%,0,0.326,0.217,0.239,0.217,0.205,,22,0,-7,8,0.4,3137
1994,Cliff Floyd,100,366,4,43,41,10,6.60%,17.20%,0.117,0.333,0.281,0.332,0.398,0.323,,90,0.7,-4.1,-4.7,0.4,518
2001,Troy Mattes,8,16,0,4,1,0,0.00%,12.50%,0.067,0.538,0.467,0.467,0.533,0.438,,162,0,1.3,1.7,0.3,1008252
1988,Jeff Huson,20,46,0,7,3,2,8.70%,6.50%,0.048,0.333,0.31,0.37,0.357,0.317,,103,0,0.1,1.7,0.3,1006229
2016,Wilmer Difo,31,66,1,14,7,3,12.10%,18.20%,0.103,0.333,0.276,0.364,0.379,0.325,,98,0.9,0.7,0.6,0.3,14320
1975,Pete Mackanin,130,495,12,59,44,11,6.30%,20.00%,0.15,0.261,0.225,0.276,0.375,0.294,,74,0.3,-14.6,2,0.3,1007912
1988,Dennis Martinez,34,90,0,2,7,0,1.10%,27.80%,0.026,0.283,0.192,0.213,0.218,0.198,,20,0,-7.9,8.3,0.3,1008161
1998,Dustin Hermanson,32,68,1,7,2,0,14.70%,42.60%,0.077,0.227,0.115,0.27,0.192,0.234,,33,0,-5.7,7.1,0.3,195
1976,Don Stanhouse,34,61,0,7,3,0,8.20%,21.30%,0.038,0.282,0.212,0.281,0.25,0.256,,52,0,-3.3,4.4,0.3,1012401
1992,Brian Barnes,21,36,0,1,1,0,2.80%,41.70%,0,0.571,0.276,0.3,0.276,0.267,,66,0,-1.4,3.3,0.3,1000560
1985,Dan Schatzeder,24,33,2,4,5,0,3.00%,30.30%,0.226,0.211,0.194,0.219,0.419,0.278,,75,0,-0.9,3,0.3,1011527
1976,Earl Williams,61,207,8,17,29,0,6.80%,15.50%,0.2,0.242,0.237,0.285,0.437,0.324,,97,0,-0.8,-3,0.3,1013995
2011,Jonny Gomes,43,107,3,11,12,2,9.30%,29.00%,0.161,0.267,0.204,0.299,0.366,0.298,,85,1.1,-0.7,0.5,0.3,1845
1973,Clyde Mashore,67,126,3,12,14,4,11.90%,22.20%,0.117,0.243,0.204,0.3,0.32,0.29,,73,-0.3,-4.2,3.7,0.3,1008210
1999,Fernando Seguignol,35,119,5,14,10,0,4.20%,27.70%,0.229,0.319,0.257,0.328,0.486,0.347,,100,0,-0.1,-0.5,0.3,1836
1973,Bob Stinson,48,134,3,12,12,0,12.70%,11.20%,0.153,0.28,0.261,0.374,0.414,0.358,,119,-0.3,2.5,-4.1,0.3,1012544
1973,Boots Day,101,234,4,36,28,0,9.00%,12.00%,0.092,0.303,0.275,0.342,0.367,0.326,,97,-1.1,-1.8,-2.6,0.3,1003095
2009,Ronnie Belliard,86,204,5,26,22,2,6.90%,19.60%,0.128,0.285,0.246,0.296,0.374,0.295,,75,1.3,-5,1.7,0.3,677
2019,Andrew Stevenson,30,37,0,4,0,0,16.20%,29.70%,0.1,0.579,0.367,0.486,0.467,0.417,,157,-1.1,1.7,0.3,0.3,17932
1989,Pascual Perez,35,66,0,2,8,0,3.00%,28.80%,0.056,0.306,0.204,0.228,0.259,0.221,,36,0,-4.6,5.5,0.3,1010185
1983,Manny Trillo,31,136,2,16,16,0,7.40%,13.20%,0.116,0.297,0.264,0.331,0.38,0.324,,104,0,0.6,-2.1,0.3,1013184
1970,Don Hahn,82,187,0,22,8,4,14.40%,14.40%,0.054,0.309,0.255,0.374,0.309,0.323,,92,0.1,-1.9,-1.5,0.3,1005202
1974,Jerry White,9,10,0,0,2,3,0.00%,0.00%,0.3,0.4,0.4,0.4,0.7,0.486,,201,0.6,1.7,0.9,0.3,1013880
2000,Tomas de la Rosa,32,77,2,7,9,2,9.10%,14.30%,0.167,0.321,0.288,0.365,0.455,0.361,,109,0,0.9,-0.1,0.3,7227
2006,Daryle Ward,78,123,6,15,19,0,11.40%,17.10%,0.26,0.325,0.308,0.39,0.567,0.4,,144,-1.3,5.9,-6.8,0.3,579
2010,Cristian Guzman,89,346,2,44,25,4,4.90%,15.30%,0.078,0.331,0.282,0.327,0.361,0.304,,85,0.5,-5.9,-1.6,0.3,728
2010,Justin Maxwell,67,131,3,16,12,5,19.10%,32.80%,0.144,0.2,0.144,0.305,0.288,0.274,,64,0.8,-4.8,3.7,0.3,6827
1977,Wayne Twitchell,22,48,0,2,4,0,10.40%,45.80%,0.051,0.471,0.205,0.295,0.256,0.262,,57,0,-2.5,3.9,0.3,1013244
2007,D'Angelo Jimenez,73,128,2,14,10,2,16.40%,17.20%,0.127,0.295,0.245,0.379,0.373,0.345,,108,-2.6,-1.2,0.1,0.3,1038
1987,Neal Heaton,32,74,0,6,6,1,1.40%,18.90%,0.03,0.264,0.209,0.221,0.239,0.205,,17,0.2,-7.5,8,0.3,1005568
2015,Doug Fister,29,39,0,2,0,0,5.10%,38.50%,0.032,0.438,0.226,0.273,0.258,0.24,,45,0,-2.5,4,0.3,9425
2010,Craig Stammen,36,43,0,2,6,0,2.30%,34.90%,0.079,0.375,0.237,0.25,0.316,0.247,,47,0,-2.8,4.3,0.3,7274
2016,Michael A. Taylor,76,237,7,28,16,14,5.90%,32.50%,0.145,0.319,0.231,0.278,0.376,0.283,,71,2.3,-6.3,1.8,0.3,11489
1976,Larry Parrish,154,593,11,65,61,2,6.90%,15.30%,0.131,0.257,0.232,0.285,0.363,0.298,,80,-2,-15.3,-1.4,0.3,1010020
1972,Coco Laboy,28,81,3,6,14,0,12.30%,19.80%,0.159,0.294,0.261,0.35,0.42,0.341,,111,0,1,-1.5,0.3,1007231
1993,Curtis Pride,10,9,1,3,5,1,0.00%,33.30%,0.667,0.6,0.444,0.444,1.111,0.651,,309,0.2,2.5,0,0.3,1762
1975,Dave McNally,12,29,0,1,1,0,24.10%,31.00%,0,0.333,0.19,0.393,0.19,0.311,,85,0,-0.5,2.2,0.3,1008655
2006,Brian Schneider,124,455,4,30,55,2,8.40%,14.70%,0.073,0.295,0.256,0.32,0.329,0.283,,68,-2.7,-21.8,9.5,0.3,795
1985,Herm Winningham,125,345,3,30,21,20,8.10%,20.90%,0.08,0.295,0.237,0.297,0.317,0.275,,73,0.3,-10.4,2,0.3,1014139
2010,Wilson Ramos,15,54,1,3,4,0,3.70%,16.70%,0.135,0.31,0.269,0.296,0.404,0.308,,87,-0.2,-1.1,2.1,0.3,1433
1981,Chris Speier,96,351,2,33,25,1,10.80%,8.30%,0.065,0.243,0.225,0.31,0.29,0.273,,68,-0.5,-12.9,4.2,0.3,1012316
1974,Jim Lyttle,25,11,0,1,2,0,9.10%,27.30%,0,0.429,0.333,0.364,0.333,0.277,,64,0,-0.4,2.8,0.3,1007893
1969,Mike Wegener,32,58,0,2,7,0,1.70%,25.90%,0.019,0.333,0.241,0.255,0.259,0.236,,41,0,-3.9,4.4,0.3,1013726
1981,Scott Sanderson,22,49,0,2,6,0,18.40%,36.70%,0.057,0.235,0.114,0.295,0.171,0.246,,50,0,-2.7,3.6,0.3,1011422
2011,Ivan Rodriguez,44,137,2,14,19,0,7.30%,20.40%,0.105,0.266,0.218,0.281,0.323,0.266,,63,-2.3,-8.1,6.5,0.3,1275
1979,Rusty Staub,38,101,3,9,14,0,13.90%,9.90%,0.14,0.27,0.267,0.366,0.407,0.34,,111,0,1.4,-2.2,0.3,1012440
1981,Rodney Scott,95,402,0,43,26,30,12.40%,8.70%,0.045,0.228,0.205,0.308,0.25,0.271,,66,3.4,-11.3,0.7,0.3,1011693
1995,Yamil Benitez,14,40,2,8,7,0,2.50%,17.50%,0.256,0.433,0.385,0.4,0.641,0.447,,173,-0.9,2.8,-1.4,0.3,1000834
2005,Rick Short,11,17,2,4,4,0,5.90%,5.90%,0.533,0.333,0.4,0.471,0.933,0.574,,263,0.3,3.8,-1.6,0.3,2263
1993,Lou Frazier,112,211,1,27,16,17,7.60%,11.40%,0.063,0.321,0.286,0.34,0.349,0.314,,90,2.6,-0.1,-4.7,0.3,1004310
2007,Joel Hanrahan,12,17,0,3,3,0,0.00%,29.40%,0.286,0.444,0.286,0.286,0.571,0.356,,115,0,0.3,1.8,0.3,2186
2006,Brandon Harper,18,47,2,6,6,0,8.50%,8.50%,0.22,0.278,0.293,0.362,0.512,0.372,,126,-0.3,1.3,-0.1,0.3,2387
2012,Steve Lombardozzi,126,416,3,40,27,5,4.60%,11.10%,0.081,0.304,0.273,0.317,0.354,0.296,,83,0.2,-8.2,-1.9,0.3,5422
1981,Larry Parrish,97,385,8,41,44,0,7.30%,19.00%,0.14,0.284,0.244,0.297,0.384,0.309,,92,0,-3.3,-7.4,0.3,1010020
2003,Michael Barrett,70,252,10,33,30,0,8.30%,14.70%,0.19,0.206,0.208,0.28,0.398,0.284,,64,0.3,-11.4,5.8,0.3,762
1979,Bill Lee,33,81,0,5,6,0,0.00%,25.90%,0.027,0.302,0.216,0.216,0.243,0.206,,21,0,-7.5,7.3,0.3,1007448
2018,Spencer Kieboom,52,143,2,16,13,0,11.20%,19.60%,0.088,0.281,0.232,0.322,0.32,0.29,,77,-0.1,-4.1,2.1,0.3,13300
2011,Jerry Hairston,75,238,4,25,24,2,9.20%,12.60%,0.117,0.296,0.268,0.342,0.385,0.324,,103,-1.9,-1.1,-3.7,0.3,144
1981,Terry Francona,34,104,1,11,8,1,4.80%,5.80%,0.053,0.284,0.274,0.317,0.326,0.295,,83,0.2,-1.8,1,0.3,1004292
1980,Steve Rogers,38,106,0,7,7,0,9.40%,26.40%,0,0.245,0.16,0.253,0.16,0.208,,23,0,-9.1,8.3,0.3,1011138
1986,Floyd Youmans,33,82,1,4,7,0,6.10%,35.40%,0.04,0.244,0.16,0.213,0.2,0.194,,15,0,-8.1,7.9,0.3,1014361
1971,Stan Swanson,49,118,2,14,11,1,8.50%,11.00%,0.085,0.264,0.245,0.31,0.33,0.295,,81,-0.9,-3.3,2.1,0.3,1012763
2020,Josh Harrison,33,91,3,11,14,1,6.60%,13.20%,0.139,0.288,0.278,0.352,0.418,0.335,,107,-1,-0.2,0.3,0.3,8202
1981,Jerry Manuel,27,63,3,10,10,0,9.50%,17.50%,0.255,0.186,0.2,0.27,0.455,0.316,,97,0,-0.2,0.5,0.3,1008086
2020,Yan Gomes,30,119,4,14,13,1,5.00%,18.50%,0.183,0.314,0.284,0.319,0.468,0.332,,104,0.1,0.8,-1.4,0.2,9627
2016,Stephen Strasburg,24,57,0,3,2,0,3.50%,19.30%,0.021,0.27,0.208,0.24,0.229,0.211,,22,0,-5.5,6.2,0.2,10131
2011,Jordan Zimmermann,29,56,0,1,3,0,3.60%,21.40%,0.023,0.29,0.209,0.244,0.233,0.217,,30,0,-4.6,5.2,0.2,4505
2002,Bruce Chen,15,13,0,3,1,0,0.00%,23.10%,0.083,0.556,0.417,0.417,0.5,0.402,,143,0,0.7,1.3,0.2,769
1970,Steve Renko,41,85,1,8,6,0,2.40%,21.20%,0.075,0.246,0.2,0.22,0.275,0.223,,30,0,-7.4,6.9,0.2,1010835
2008,Tim Redding,35,65,0,2,3,0,7.70%,21.50%,0.021,0.242,0.17,0.25,0.191,0.213,,20,0,-6.6,6.9,0.2,573
1985,Fred Manrique,9,14,1,5,1,0,7.10%,21.40%,0.462,0.333,0.308,0.357,0.769,0.474,,209,0,1.7,0.1,0.2,1008076
2010,Adam Kennedy,135,389,3,43,31,14,9.50%,11.30%,0.079,0.274,0.249,0.327,0.327,0.298,,80,-2,-11.2,1.7,0.2,19
2019,Stephen Strasburg,34,80,1,4,10,0,3.80%,31.30%,0.056,0.239,0.167,0.2,0.222,0.186,,6,0,-10,9.8,0.2,10131
1971,Carl Morton,36,83,2,7,6,1,3.60%,27.70%,0.078,0.226,0.182,0.21,0.26,0.216,,29,0.2,-6.3,5.7,0.2,1009230
2017,Max Scherzer,31,72,1,4,5,0,5.60%,22.20%,0.048,0.2,0.161,0.212,0.21,0.192,,8,0,-8.6,8.6,0.2,3137
2000,Mike Mordecai,86,183,4,20,16,2,6.60%,18.60%,0.166,0.336,0.284,0.335,0.45,0.342,,97,-0.5,-1.1,-2.3,0.2,1385
1979,Duffy Dyer,28,83,1,4,8,0,10.80%,20.50%,0.122,0.304,0.243,0.325,0.365,0.295,,81,0,-1.8,1.3,0.2,1003613
1998,Carlos Perez,23,59,1,3,2,0,1.70%,32.20%,0.106,0.296,0.191,0.208,0.298,0.221,,25,0,-5.6,6.1,0.2,1010179
2009,Craig Stammen,20,37,0,1,4,0,5.40%,27.00%,0.097,0.286,0.194,0.242,0.29,0.239,,37,0,-2.9,4,0.2,7274
1999,Miguel Batista,39,41,1,6,3,0,4.90%,46.30%,0.114,0.4,0.2,0.243,0.314,0.248,,36,0,-3.5,4.6,0.2,46
2003,Todd Zeile,34,127,5,11,19,1,7.90%,14.20%,0.186,0.264,0.257,0.331,0.442,0.336,,98,0.5,0.2,-2.1,0.2,457
2014,Jordan Zimmermann,32,67,0,3,1,0,3.00%,31.30%,0.018,0.286,0.182,0.207,0.2,0.184,,9,0,-6.9,6.9,0.2,4505
1992,Ivan Calderon,48,186,3,19,24,1,7.50%,11.80%,0.159,0.288,0.265,0.323,0.424,0.334,,112,-0.6,1.9,-5.9,0.2,1001825
2012,Sandy Leon,12,36,0,2,2,0,11.10%,30.60%,0.067,0.421,0.267,0.389,0.333,0.334,,108,-0.7,-0.3,1.3,0.2,5273
1973,Barry Foote,6,6,0,0,1,0,0.00%,0.00%,0.333,0.667,0.667,0.667,1,0.734,,367,0,1.8,0,0.2,1004210
1983,Bobby Ramos,27,70,0,2,5,0,11.40%,15.70%,0.082,0.28,0.23,0.329,0.311,0.294,,83,0,-1.3,1.2,0.2,1010675
